channel_id,channel_name,niche,country,description,subscribers,total_views,total_videos,published_at
UCWDtr7aXBLPS62INLF5fDKg,Sahil Fitness,Fitness,IN,"1. ‘The last three or four reps is what makes the muscle grow. This area of pain divides a champion from someone who is not a champion.’

— Arnold Schwarzenegger, seven-time Mr. Olympia

2. ‘Success u",930000,504282715,2954,2017-11-20T02:49:48Z
UCYC6Vcczj8v-Y5OgpEJTFBw,Fit Tuber,Fitness,IN,"Welcome to Fit Tuber! I am a fitness enthusiast from India. Fitness doesn't necessarily mean making bulky muscles. To me, it is to stay healthy and feel good about our bodies. I am not the fittest per",8220000,1116733996,670,2016-08-21T11:29:01Z
UCfrRUp2ERVNICHAY17cL5Ug,FitManjeet,Fitness,IN,"Hello,
This is FitManjeet, hope you are doing good. This channel is about fitness from fitness pranks to fitness knowledgeable videos. This channel provides you with entertainment, fun and comedy to k",2130000,279851504,340,2018-11-26T08:10:48Z
UCfgrg0SXgNkZ7rTbnZCp6tg,Saket Gokhale,Fitness,IN,"capturing the best moments of my life on video :)

📝 certified nutrition & fitness coach",2170000,349719234,1182,2019-08-30T16:48:37Z
UCvPpp_B29P5kSjSr8IsSLYA,Commando Fitness club,Fitness,Unknown,"Former NSG Black Cat Black Belt Commando
Mission Save Nirbhaya 🇮🇳
Join our family & Support Us.
Contact us for paid promotion & collaboration on Gmail- commandofitnessclub7@gmail.com
Whatsapp no -9599",5910000,1725188684,280,2014-09-04T17:01:38Z
UCcff9aGsGbyCAN42rqtym6g,nitin chandila,Fitness,Unknown,Official youtube channel of Indian bodybuilder Nitin Chandila. You can follow this channel for my regular workout and nutrition videos which might be helpful for anyone chasing there fitness goals.,518000,115019027,767,2021-01-04T16:15:10.328954Z
UCt8w-7d1EKf4F4qiuj_NeUg,Dhanush Amin,Fitness,IN,"On this channel you can find fitness tips, exercise and hair care videos.
Email: Dhanushamin9740@gmail.com

",840000,568268871,516,2021-11-14T11:50:28.428313Z
UC9Awl_4qjLO8-SqJ2VkpMZg,Get Fit with SiGo,Fitness,IN,"Get Fit with Sivaguru & Gomathy ❤️

Welcome to our world of fitness, style, and wellness! 🌟

Join us as we share our journey towards a healthier and more vibrant lifestyle, featuring:

Fitness Tips & ",1600000,1634482972,865,2022-09-26T16:32:51.386493Z
UC7t6QJ4u8qF8pI-vibX-BUQ,WORKOUT,Fitness,US,"WORKOUT is great team of professional fitness athletes and coaches. We have our own dedicated team of video editors/producer, Videographer/filmmaker. WORKOUT is Worldwide Brand & Movement. All content",8640000,978295402,1203,2011-06-28T13:58:45Z
UCaebxrfVje2g0nRQ92D8DfA,Desi Gym Fitness,Fitness,IN,"my name is Santosh Yadav and I am a Fitness trainer and motivater I  upload fitness and bodybuilding videos in this channel.  All type of fitness videos like muscle building, weight loss and other fit",3360000,642868659,896,2018-03-27T10:48:22Z
UCSE72IaHOL-1Tv-m3JHE4Cg,wearecult,Fitness,IN,"Be Better Everyday!*
*Exclamation mark added by Ranveer Singh, our new Motivator-in-Chief",2260000,363033021,2329,2017-04-20T12:22:36Z
UCMS6jAdlfsDW2l6yGYtd18A,Venkat Fitness Trainer,Fitness,IN,"Venkat Fitness Trainer Best Telugu Fitness Trainer in India. From South India Hyderabad. Certified Trainer who trained hero Sunil, Ram, and so many celebrities. He gives best six pack tips, diet plans",517000,68488970,930,2018-02-17T06:36:43Z
UC6I9xtXwwo87Dik1xMPgLdw,RD Fitness Unlimited,Fitness,IN," For 99 Days Online Training +918838047009
",1660000,306734624,938,2020-07-02T05:36:04.801162Z
UCkKGYXQpaecQWA8bjIqbKCg,Kannada Health and Fitness,Fitness,Unknown,"Step into a world of fitness and health tailored exclusively for the Kannada-speaking audience. Kannada Health and Fitness is your ultimate hub for all things wellness, offering a rich variety of cont",237000,63126827,544,2020-09-14T21:17:46.461552Z
UChy4qc0Gt26NsMfldeQ2DMQ,Kush fitness,Fitness,IN,"राम राम जी
Welcome to Kush fitness
इस चैनल पर मिलेगी आपको यह जानकारियां-Exercise,desi diet, beauty, घरेलू नुस्खे,beauty information,how to be fit desi nuskho se, bodybuilding information,home workout,",1190000,143267823,849,2017-11-06T09:47:50Z
UCObqz9gEwhZmouZ685Uk0fQ,FITNESS DANCE With RAHUL,Fitness,IN,"""FITNESS DANCE With RAHUL"" promote Indian Dances through the Dance Fitness Workout Routines & Easy Choreography Like : Bollywood, Bhangra, Tollywood, Free Style, Etc

If you're familiar with Bollywood",829000,176310712,675,2015-09-16T05:00:20Z
UCpPNGUZgUU6wCEMoxCMaqjQ,Village Desi workout ,Fitness,Unknown,"Hello friends 🙏👋, Mera Naya YouTube channel , please support me. Jai hind 🇮🇳🇮🇳",2610,1434566,345,2023-12-17T17:03:08.205548Z
UCEitRqqiXZkDOui-_9771lA,HOME WORKOUT,Fitness,IN,"Welcome To Our Channel 

A ""HOME WORKOUT 🏋️"" YouTube channel would likely feature videos on exercise, physical fitness, and healthy living. The channel could include workout tutorials, tips and advice",11000,8816696,28,2024-07-13T06:55:43.436533Z
UC0FIp7QQEXZi-Wgm5P3bOJw,Mama's Workout Squad,Fitness,IN,"Welcome to Mama's Workout Squad, where fitness meets family fun! Join us as we embark on a journey to stay active and healthy together. Our channel is dedicated to providing enjoyable and effective wo",7990,1002467,312,2017-09-17T12:38:21Z
UCGhTq7eI2yg2m6Hbo4nrKxg,Captain Workout,Fitness,US,"Bodybuilding made simple.
",555000,47804779,70,2025-07-04T06:34:37.444244Z
UC71ycJAmvaMy27Z4qL3mgsQ,Workout Sunday,Fitness,IN,"Welcome to Workout Sunday – your weekly dose of fitness, facts, and transformation.

This is a faceless YouTube channel dedicated to delivering science-based health tips, quick workout shorts, and pra",62,25255,20,2025-06-15T05:26:52.141545Z
UCdQD73l5GjsOcEYXuzb1ZuQ,DUDE WORKOUT ,Fitness,US,"Doon Workout mein aapko milenge simple aur effective home workout routines, jo aap bina gym equipment ke kar sakte ho 💪
Is channel ka goal hai:
🔥 Fat loss workouts
💪 Muscle gain exercises
🏠 Home worko",97,31530,6,2025-11-02T03:19:08.520984Z
UC54QiLiwExuSY28i5dyLzfA,HOME WORKOUT Zoneytshts 🔥,Fitness,IN,"welcome to my desifitness YouTube channel 
#shorts",20,48475,88,2026-02-21T08:57:05.34978Z
UC9iMMc9FzF-sdahj_HIdiRw,Whole Workout,Fitness,Unknown," Calisthenic athlete 🤸‍♂️

All Natural and vegetarian, 🌱 No supplements or Steroids 

“For business inquiries”
daskarankumar24@gmail.com
",18700,6285423,471,2024-02-10T12:36:06.634675Z
UCmAzC-1q0mJwGZMltSVyJGQ,Future Workout,Fitness,IN,"Welcome to [Future Workout]!

Your go-to destination for workouts that get results. Whether you're a beginner or a fitness pro, we’ve got you covered with:

✅ Full-body workouts
✅ Strength training & ",70200,55127163,915,2024-02-16T12:19:46.780563Z
UCLoikNR5zXtSXl98jYOhQCw,WorkoutChannel,Fitness,FR,"BONJOUR A TOI JEUNE ATHLÈTE! 🏀
JE SUIS UN COACH DE BASKETBALL QUI VEUT TRANSMETTRE SA PASSION!

TU RETROUVERAS SUR CETTE CHAÎNE: 
►DES TUTOS ET ENTRAÎNEMENTS POUR DEVENIR MEILLEUR AU BASKET
►DES DUELS",93100,10631193,162,2013-05-06T18:39:45Z
UCaM80jFI4JlGiIxZnw1HGIw,AM CRICKET & WORKOUT,Fitness,IN,"AM CRICKET AND WORKOUT VLOG 🏏

‎⁨@akashmeshram030⁩  
‎⁨@MumbaiCricAssoc⁩  

Wellcom to My YouTube channel
hello everyone 👋😊 
my name : akash meshram
I'm from : Ramtek Nagpur Maharasta in India
Passion",1280,675919,663,2020-01-02T15:44:53.73224Z
UC_wjX-d8hpP_DRSSt8OtOqQ,WORKOUT WARRIOR,Fitness,US,"🙌 WORKOUT WARRIOR 🙌

🖐️ Follow Workout Warrior ♥️ and stay healthy and live good  lifestyle ✨🏋️
🤗 Join the workout tips and daily routine and good advice to help your transformation body and mindset 💪",649000,350654726,1513,2024-12-07T03:32:38.996308Z
UCGmBECb2zOAWOn8pBII-vtQ,Workout Mode,Fitness,Unknown,"Welcome to the official YouTube channel of Workout Mode. Here You Will Find GYM Workout Videos

If you search bodybuilding and gym motivation videos, you are in the right place.... 

What You'll Find ",18500,10527224,205,2017-11-10T15:51:47Z
UCJFD1n58F1BzI31ghQyO28g,master workout,Fitness,Unknown,"||| Assalamualikum friends ||| 

《WELCOME TO MY [MASTER WORKOUT] CHANNEL》 

{ HerE YoU WilL FinD AlL TypeS   EmotioN 😭   ComedY 🤣    DramA 🤡   ActioN 🎬  AlL VideoS 📹 }

€€ .please subscribe to my chan",61700,10968854,1260,2023-01-25T19:26:37.78498Z
UCanGaUp9luSTbqkCh9zVUIQ,Workout Health and Fitness,Fitness,IN,"With more then 20 years of experience in the fitness industry, we are here to help you build a perfect physique/figure. From Workout's to Diet plans, Home workout's to Gym workout's, Supplementation a",62300,7406051,44,2023-07-26T10:47:39.400413Z
UCES0XXygB5eGfR9Dj_ZzBQw,Siddharth Nigam Workout ,Fitness,IN,"Fitness is not about looking strong.
It’s about becoming disciplined enough to perform under pressure.

I’m Siddharth Nigam actor, gymnast, and athlete.
This channel documents my journey of training, ",4350,260988,66,2026-02-02T22:08:50.124327Z
UCnHteffuiVQk3fiFWDv7g1w,SHAPE & WORKOUT ,Fitness,IN,"✅️ SHAPE & WORKOUT is the channel for Bodybuilding , Fitness , Gym , Workout , Caliesthenic , Motivational Videos and More.

🔴 I make these videos to motivate more people and inspire them for better w",136000,30109497,640,2023-12-08T11:40:26.571726Z
UCTh8egIb_fteMBxi_NQfTQw,N.M Workout ,Fitness,Unknown,,87,71818,203,2025-08-10T07:09:09.078136Z
UC5FNiPVkYzw5040Fx3s576A,EFFECTIVE WORKOUT,Fitness,US,"◼ Welcome to EFFECTIVE WORKOUT Channel!
Here, you’ll find powerful and effective exercises designed for every muscle group, helping you build a stronger, healthier, and more aesthetic body.

Our missi",165000,16612285,881,2020-10-22T06:12:49.899641Z
UCi2SWsoqt6cJlmGReEZuh1w,WORKOUT WITH RIYANKA ,Fitness,IN,"Official YouTube Channel of Riyanka Dey. 

This Is My Fitness channel 💪 Welcome to my 
Fitness journey 💪 let's go 😁 
On This Channel I Share My Life With You Guys 💋 

I Am a Fitness trainer 💪 🔥 

My C",2910,673878,845,2020-04-19T04:44:17.198912Z
UCpWubi1_VA9jnIqwHpgh0Iw,Sahdev Home Workout,Fitness,IN,"Hello Friends 

Mera name hai sahdev aur aap sabhi ka hamare youtube channel par swagat hai dosto hamare is channel par desi gym fitness motivation se sabkuch milega to aap channel ko subscribe jarur ",45,80253,85,2025-11-23T19:22:25.202541Z
UCVbSit_Ba-hKcbf1Qb_MdZA,Army Workout Routine,Fitness,IN,"🎖️You are most welcome to my YouTube channel (Army Workout Routine)🎖️

🎖️ Jai Hind Dosti ! 
    
Main hoon (Akhil Kumar) aapka Bhai , aapka coach, aur ek police 🚨, Fauji jazbe Wala fitness freak !

💥 ",59,996,5,2026-04-30T14:55:54.936208Z
UCsCrgTwPv3kBrPF9omhQpzA,HOMEWORKOUT,Fitness,KR,"Please understand that the title of the video may contain some intuitive and stimulating elements to increase the possibility of searching for content. 
Videos are produced by referring to fully verif",585000,61679431,1178,2023-02-28T14:55:20.578012Z
UCeHRYmNbfIzsZ03banezIIQ,Maniy Workout Official ,Fitness,IN,"Calisthenics Freestyle Athlete And | Coach | Fitness Instructor | Yamunanagar Haryana 

Aisw Callout Battle Winner 🏆 
National Champ 🏆
3x State Champ🥈


",2360,988629,88,2020-04-21T15:27:14.373617Z
UCBO4-IayF3TzQuW7Dx_4RcA,WORKOUT REALARM,Fitness,Unknown,"""This isn’t just another workout channel… this is a fitness revolution!
Here, you’ll find the energy, the motivation, and the hatke workout style you’ve never seen before.

🔥 No boring gym vibes
🔥 No ",687,82411,20,2025-09-19T08:48:28.222133Z
UC1CEMd0yTueGmM4xpd5h0Sg,Final Workout,Fitness,US,"Final Workout is a no-excuses training channel for those who believe real strength is built when the body is tired and the mind wants to quit. This channel is not about comfort, trends, or shortcuts. ",2810,330642,96,2025-07-28T03:52:52.836035Z
UCKtVnByxQc6rpfCZi92Lvxg,Tommy WORKOUT,Fitness,US,"Hi guys! My name is Izzatulla Urokboev, and I’m a boy athlete who practices rhythmic gymnastics. I’ve been training for over 5 years and have achieved great results. On this channel, I’ll be sharing m",1560000,1179582940,230,2024-06-30T08:50:39.269159Z
UCqbzEYgdezDmFlGUrCbdO0g,Workout with Karthi,Fitness,Unknown,"Hello everyone 
Welcome to my YouTube channel!!!
Here I share videos on my Fitness journey postpartum and also my Life as a mom of a Toddler.

I am an Athelete, Yoga Instructor, Martial artist, Taichi",74,47708,48,2012-11-04T11:44:47Z
UC5RAe9RXgqszcReYWVUARMQ,workout with niki,Fitness,TR,"Welcome to the most attractive and best home workout channel 
In this channel, you will be taught the best HIIT, fat burning exercises, cardio, muscle building and corrective movements without special",2700,401067,270,2022-08-23T13:24:30.169964Z
UCVbjTIIOBuhUCU82jGC3CLQ,Workout Akshay,Fitness,IN,"Instagram - workout.ak
Facebook - Workout.Ak",310000,81753546,684,2017-07-18T06:52:40Z
UCHdx3vX4Z6K6Je9EUid5UxA,ProFit Workout,Fitness,US,"Welcome to ProFitWorkout! 💪🏋️‍♂️ Ready to achieve your fitness goals without the hassle? Join us every day for convenient, equipment-free workouts tailored for busy bees like you. No fancy gear, just ",5100,345156,101,2023-10-06T15:14:17.459421Z
UCjL_3i7QbcmRaOf8qCOfJ7A,Workout Plan for Fitness ,Fitness,IN,"I am Gajendra Dayma 

मैं आपका अपने Official Youtube Channel Workout Plan For Fitness में स्वागत करता हु। इस चैनल के माध्यम से मैं आपको Daily Workout Plan, Healthy Diet, Daily Rutine Work for Zym, Des",98,17024,26,2023-03-20T14:03:52.88812Z
UCAHo1ffwiyr47IA2e4B6L5Q,Zi workout,Fitness,US,"Welcome to ZiWorkout – Build Strength, Size & Power! 💪🔥

Want to gain muscle, increase strength, and sculpt your dream physique? At ZiWorkout, we provide expert-backed workout routines, training tips,",53300,5569847,1033,2023-07-20T03:40:15.546044Z
UCGZCi0pLApnhpluB6u00GGg,Thunder Workout,Fitness,IN,"Welcome to the Thunder Workout. This is where fitness gets real, stripped of complexity and hype. We're not just lifting weights, we're building sustainable strength.

🧠 What You'll Find Here:
• Smart",27,5653,9,2026-01-07T16:53:56.694717Z
UCcSax7syMQrqOji917olskA,BENZ WORKOUT,Fitness,IN,"

Welcome  My Youtube Channel❤️
Namaste doston! Main hoon Benz aur Benz Workout par aapka swagat hai. Agar aap muscle gain, strength training aur sahi lifting technique seekhna chahte hain, toh aap sa",3980,1205788,225,2023-04-30T05:28:24.576696Z
UCI-0farueGCgJRYiWS08l9g,Juned Fitness Workout ,Fitness,Unknown,"L.U.C.K.N.O.W.📍
📥DM ""FIT"" for 1:1 Training / Online Training",39800,33050353,1075,2023-06-02T10:28:45.683957Z
UC40_0oKU8SoLFeK4frNmO7w,Skills Workout Free ,Fitness,IN,"The SWF [ SKILLS WORKOUT FREE ] - In This Channel You Will Get Videos Related To New Daily Routine Home Workout And Gym Workout Videos Everybody For Both Gender 
"" MALE AND FEMALE  "" . I Am Profession",28800,5683782,245,2023-11-09T08:03:41.219507Z
UCnnvlupzqlEXbhBK45_3jOw,krypton workout,Fitness,Unknown,"👉 “Just an average 24-year-old fitness nerd who’d rather lift weights than face a camera — so my humanoid version does it instead 😅""

For business inquiries and brand collaborations, contact at:
📩 tea",37600,12970795,53,2025-09-21T12:28:02.175268Z
UC8-9mdGBP5dtxEKJM2E9bHA,Workout 4D,Fitness,US,Workout 4D brings fitness information and tips for people looking easy exercises and workouts to get in shape and lose weight at home without going to gym.,4840000,510587425,3350,2017-09-20T07:45:04Z
UCmh9b97Rgrf_nFkHpkJEVkw,Shankar Gym Workout ,Fitness,IN,Please support my YouTube channel Shankar Gym Workout 🙏🙏 ,3380,1314550,1023,2022-05-11T13:44:08.697467Z
UCaIoYU4RbMA2Eqo0-UJaDKA,Workout Discipline,Fitness,Unknown,"Workout Discipline is focused on simple workouts and strong discipline.

This channel helps beginners build consistency through basic exercises,
correct form, and disciplined routines.

No shortcuts. ",240,81312,45,2026-01-04T09:04:45.433752Z
UCTIwFB4ciFi5ZCIu-VlwaOg,Little Sports,Fitness,GB,Fun and simple exercises for kids to do at home. I provide the best family-friendly fitness videos that you can do at home - to make sure everybody burns calories everyday! Let's go!,1410000,278669103,1725,2019-10-03T14:47:23Z
UCut7Y9sJkcEaHtwy7jz6p2A,Workout with Sabah,Fitness,IN,Hi everyone! I am Sabah Kadri and welcome to my Dance and Fitness channel. I have been teaching Bollywood dance for 10 years now and Bollywood fitness for 8 years! I am a NASM Certified Fitness Profes,217000,21369696,335,2006-10-01T20:50:04Z
UCZtR1d3RYi29s_rlRNJhKrg,Ash workout,Fitness,Unknown,"Hi brothers🤍




About me:  
 
I'm ash from tamilnadu (chennai) and I'm little bit interested in fitness , workout, calisthenics exercise🤸. I'm doing  exercise in my home itself.🏡. So I decided to sta",44000,19281287,433,2021-07-03T05:52:28.551673Z
UCwpWSTf-EGAZmc24FWCPOIA,Gym workout is live,Fitness,GB,"Welcome to GYM WORKOUT youTube channel. 
Timings:-
Monday to saturday
Morning : 5:00 to 10:00
Evening: 5:00 to 10:00
",191,37018,209,2025-12-07T02:56:37.316649Z
UCxyhIDur465A-xONyKFFYYQ,Workout Kar Bhai,Fitness,IN,"Workout Kar Bhai is a Hindi fitness channel focused on simple workouts, weight loss, home exercises, and daily fitness motivation.

Whether you are a beginner or restarting your fitness journey, this ",83,50109,47,2025-12-16T06:49:25.016258Z
